Id,Label,timeset,0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,pageranks
3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom,3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom,,Bitcoin Wallet,5,0.275821,0.295412,2894,21,0.033273,55,0.006832
1PEwiEYxgzjKNaPqMDuHVTaRSqu1mKMuJe,1PEwiEYxgzjKNaPqMDuHVTaRSqu1mKMuJe,,Bitcoin Wallet,4,0.368778,0.381793,2066,144,0,0,0.000468
1M6AL8UASTJi8dXt5Emr81YAJey1R4zXeD,1M6AL8UASTJi8dXt5Emr81YAJey1R4zXeD,,Bitcoin Wallet,5,0.271866,0.278495,0,4,0,0,0.000263
37syxtaXYUuSQEzmi57z64i3B1cggH6sUs,37syxtaXYUuSQEzmi57z64i3B1cggH6sUs,,Bitcoin Wallet,4,0.368646,0.381471,0,11,0,0,0.000238
1MrqDoe2M6SfsLkoS85XLDfBsx4VBFL9q8,1MrqDoe2M6SfsLkoS85XLDfBsx4VBFL9q8,,Bitcoin Wallet,4,0.368712,0.381713,0,86,1,1,0.000398
16W6iYajGTtgBMC9T4pFjcKWeAVMxuAzJy,16W6iYajGTtgBMC9T4pFjcKWeAVMxuAzJy,,Bitcoin Wallet,4,0.368778,0.381793,2066,145,0,0,0.000468
13LEQ4nm3hN3VmXfeRoFZxEmTVG3XgzU64,13LEQ4nm3hN3VmXfeRoFZxEmTVG3XgzU64,,Bitcoin Wallet,4,0.368646,0.381471,0,11,0,0,0.000238
18mURxUfiQ8vy1T7P2pUWKLLwA6hjJ2oyc,18mURxUfiQ8vy1T7P2pUWKLLwA6hjJ2oyc,,Bitcoin Wallet,5,0.269456,0.274383,0,146,0,0,0.000272
1H1NdZFdsamq3HAtbBqMZpiw7B6V74Vpuc,1H1NdZFdsamq3HAtbBqMZpiw7B6V74Vpuc,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1GEqL9owxr6voZwPJpqm9XD6tRVf5jnax9,1GEqL9owxr6voZwPJpqm9XD6tRVf5jnax9,,Bitcoin Wallet,5,0.272583,0.279705,0,10,0,0,0.000262
1J62jT7iJH1uzFQuHgsUGGyBe1FgMkZ9kB,1J62jT7iJH1uzFQuHgsUGGyBe1FgMkZ9kB,,Bitcoin Wallet,4,0.368778,0.381793,2066,11,0,0,0.000468
1C6j6w31NTefC57TK6PoykuzK25EAo3zL,1C6j6w31NTefC57TK6PoykuzK25EAo3zL,,Bitcoin Wallet,4,0.368778,0.381793,2066,147,0,0,0.000468
bitzztn6yzua4oct.onion,bitzztn6yzua4oct.onion,,Hidden Service,5,0.273739,0.281785,0,21,1,1,0.000274
39SRLmafm2DvtMCQNGU9hYvw9VzQsFwAqd,39SRLmafm2DvtMCQNGU9hYvw9VzQsFwAqd,,Bitcoin Wallet,5,0.269456,0.274383,0,148,0,0,0.000272
1LUk55d2QVRcj9CkmKxEJ6Uqzy3syQvAMc,1LUk55d2QVRcj9CkmKxEJ6Uqzy3syQvAMc,,Bitcoin Wallet,5,0.270444,0.276076,0,30,0,0,0.000264
1GD3XV56GRGRnsmb4QtXDBiUazZ8qUSgKb,1GD3XV56GRGRnsmb4QtXDBiUazZ8qUSgKb,,Bitcoin Wallet,5,0.269456,0.274383,0,149,0,0,0.000272
1AyDPSewEEgKDeUfyd7B1NYX3bXrsCsoqL,1AyDPSewEEgKDeUfyd7B1NYX3bXrsCsoqL,,Bitcoin Wallet,5,0.271509,0.277891,0,5,0,0,0.000263
14Lmw7vJds2Pwf33KwU6aBUCU2rdJE72c3,14Lmw7vJds2Pwf33KwU6aBUCU2rdJE72c3,,Bitcoin Wallet,5,0.269456,0.274383,0,11,0,0,0.000272
176pJ2JyoMa4om64yeBRj7QmCCkEZKowTh,176pJ2JyoMa4om64yeBRj7QmCCkEZKowTh,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1MnK8Vj5yymyuPCZVA3iMHzPjCfbS1yoCC,1MnK8Vj5yymyuPCZVA3iMHzPjCfbS1yoCC,,Bitcoin Wallet,4,0.368778,0.381793,2066,150,0,0,0.000468
3CbYYhnVnf6GYARGF6wVRagwEQEk41Bocj,3CbYYhnVnf6GYARGF6wVRagwEQEk41Bocj,,Bitcoin Wallet,5,0.271723,0.278254,0,17,0,0,0.000263
12iKjRg8n8wUZy5WmHcQQMNnDrf7g8sA7k,12iKjRg8n8wUZy5WmHcQQMNnDrf7g8sA7k,,Bitcoin Wallet,4,0.368646,0.381471,0,11,0,0,0.000238
1CdPyswbZz4MFT6aHF7wEUPZfjWr76MhH4,1CdPyswbZz4MFT6aHF7wEUPZfjWr76MhH4,,Bitcoin Wallet,5,0.278459,0.289381,0,8,0,0,0.00026
14y9SzRYngQXCMgU6VnpypHjjc6ExhYY5Y,14y9SzRYngQXCMgU6VnpypHjjc6ExhYY5Y,,Bitcoin Wallet,4,0.368646,0.381471,0,11,0,0,0.000238
1PMCACEbeG72N7t9ZsA5XvLRyNBiSjgsrg,1PMCACEbeG72N7t9ZsA5XvLRyNBiSjgsrg,,Bitcoin Wallet,5,0.269456,0.274383,0,151,0,0,0.000272
1C1Uvpztv8gBVdKrq9gGrMfyiSnWZwgPAy,1C1Uvpztv8gBVdKrq9gGrMfyiSnWZwgPAy,,Bitcoin Wallet,5,0.269456,0.274383,0,152,0,0,0.000272
1G2Pm8e4cFatyjYbQ1QTx8xU2YG9f4d45r,1G2Pm8e4cFatyjYbQ1QTx8xU2YG9f4d45r,,Bitcoin Wallet,5,0.271153,0.277286,0,18,0,0,0.000263
